Family,Scientific Name,SPECIES,Plant Type,Common Name,PASTURE,TRANSECT
Rubiaceae,Hedyotis crassifolia,HECR9,Forb,Small bluets,2,7
Scrophulariaceae,Agalinis heterophylla,AGHE4,Forb,prairie false foxglove,3,74
Scrophulariaceae,Castilleja indivisa,CAIN13,Forb,Indian paintbrush,2,7
Scrophulariaceae,Linaria canadensis,LICA6,Forb,"Toadflax, Blue",2,9
Solanaceae,Physalis,PHYSA,Forb,Groundcherry,3,74
Solanaceae,Solanum carolinense,SOCA3,Forb,Carolina horsenettle,6,117
Unknown,Unknown Forb,UNKF,Forb,NA,2,7
Urticaceae,Tragia ramosa,TRRA5,Forb,"Noseburn, Nettleleaf",2,7
Valerianellaceae,Valerianella radiata,VARA,Forb,Beaked corn salad,2,7
Verbenaceae,Verbena bipinnatifida,VEBI,Forb,Prairie verbena,6,117
Verbenaceae,Verbena halei,VEHA,Forb,Texas vervain,6,117
Violaceae,Hybanthus verticillatus,HYVE,Forb,Nodding green violet,2,9
