"Carrion","Exclusion","response","SE","df","asymp.LCL","asymp.UCL"
"Mass","Herbivore",56.4531339157165,45.8831596091982,Inf,-82.943314321725,195.849582153158
"Single","Herbivore",1.30693769775995,0.850115979741047,Inf,-1.2757778164968,3.88965321201669
"Mass","Open",84.0803821291679,66.8704636553864,Inf,-119.07705526063,287.237819518965
"Single","Open",9.48575563891525,7.11233553152922,Inf,-12.1220481874231,31.0935594652536
"Mass","Scavenger",1.58340829359247,1.40918921275172,Inf,-2.69781324444491,5.86462983162986
"Single","Scavenger",0.873459033719122,0.824977961931764,Inf,-1.63288531455451,3.37980338199276
