GENUS.SPECIES,DORMANCY.CLASS
Acacia pycnantha,PY
Acacia pycnostachya,PY
Acacia pygmaea,PY
Acacia raddiana,PY
Acacia ramulosa,PY
Acacia recurvata,PY
Acacia rigidula,PY
Acacia robusta,PY
Acacia rothii,PY
Acacia rubida,PY
Acacia ruppii,PY
Acacia salicina,PY
Acacia salicina,PY
Acacia saligna,PY
Acacia schaffneri,PY
Acacia sciophanes,PY
Acacia sclerosperma,PY
Acacia sclerosperma,PY
Acacia senegal,ND
Acacia senegal,PY
Acacia seyal,PY
Acacia seyal,PY
Acacia shirleyi,PY
Acacia siculiformis,PY
Acacia sieberiana,PY
Acacia silvestris,PY
Acacia simsii,PY
Acacia simsii,PY
Acacia smallii,PY
Acacia spirorbis,PY
Acacia stenophylla,PY
Acacia stipuligera,PY
Acacia stipuligera,PY
Acacia suaveolens,PY
Acacia subflexuosa,PY
Acacia tanganyikensis,PY
Acacia tephrina,PY
Acacia terminalis,PY
Acacia tetragonophylla,PY
Acacia tetragonophylla,PY
Acacia tortilis,PY
Acacia tortilis,PY
Acacia torulosa,PY
Acacia torulosa,PY
Acacia trachycarpa,PY
Acacia trachycarpa,PY
Acacia trachyphloia,PY
Acacia tumida,PY
Acacia urophylla,PY
Acacia vassalii,PY
Acacia victoriae,PY
Acacia williamsonii,PY
Acacia wilsonii,PY
Acacia wrightii,PY
Acacia xanthophloea,PY
Acaena argentea,ND
Acaena californica,PD
Acaena exigua,PD
Acaena ovina,PD
Acalypha ostryaefolia,PD
Acamplopappus sphaerocephalus,PD
Acanthocarpus preissii,PD
Acanthopanax garaldii,MPD
Acanthopanax giraldii,MPD
Acanthopanax henryi,MPD
Acanthopanax sessiliflorus,MPD
Acanthopanax setchuenensis,MPD
Acanthopanax stenophyllus,MPD
Acanthosiscyos naudiniana,PD
Acanthospermum hispidum,PD
Acanthospermum hispidum,PD
Acanthus ilicifolius,ND
Acca sellowiana,ND
Acer albopurpurascens,PD
Acer barbinerve,PD
Acer buergerianum,PD
Acer caesium,PD
Acer caesium,PD
