"SITE","BIOMASS","EXCL","PACKET","TYPE","SURV","REF","diff"
"GG","Low biomass","H","Rain
adjacent","Physiological dormancy",0.2,0,0.2
"GG","Low biomass","H","Rain
adjacent","Physical dormancy",0,0.2,-0.2
"GG","Low biomass","H","Rain
proximal","No dormancy",0,0,0
"GG","Low biomass","H","Rain
proximal","Physiological dormancy",0,0,0
"GG","Low biomass","H","Rain
proximal","Physical dormancy",0,0.2,-0.2
"GG","Low biomass","H","Bank
adjacent","No dormancy",0.1,0.7,-0.6
"GG","Low biomass","H","Bank
adjacent","Physiological dormancy",1,0.4,0.6
"GG","Low biomass","H","Bank
adjacent","Physical dormancy",0,0,0
"GG","Low biomass","H","Bank
proximal","No dormancy",0.1,0.7,-0.6
"GG","Low biomass","H","Bank
proximal","Physiological dormancy",0.4,0.4,0
"GG","Low biomass","H","Bank
proximal","Physical dormancy",0.1,0,0.1
"GG","Low biomass","O","Rain
adjacent","No dormancy",0.7,0,0.7
"GG","Low biomass","O","Rain
adjacent","Physiological dormancy",0,0,0
"GG","Low biomass","O","Rain
adjacent","Physical dormancy",0,0.2,-0.2
"GG","Low biomass","O","Rain
proximal","No dormancy",0.9,0,0.9
"GG","Low biomass","O","Rain
proximal","Physiological dormancy",0.6,0,0.6
"GG","Low biomass","O","Rain
proximal","Physical dormancy",0,0.2,-0.2
"GG","Low biomass","O","Bank
adjacent","No dormancy",0.4,0.7,-0.3
"GG","Low biomass","O","Bank
adjacent","Physiological dormancy",0.8,0.4,0.4
"GG","Low biomass","O","Bank
adjacent","Physical dormancy",0,0,0
"GG","Low biomass","O","Bank
proximal","No dormancy",0.3,0.7,-0.4
"GG","Low biomass","O","Bank
proximal","Physiological dormancy",0,0.4,-0.4
"GG","Low biomass","O","Bank
proximal","Physical dormancy",0.1,0,0.1
"GG","Low biomass","S","Rain
adjacent","No dormancy",0.1,0,0.1
"GG","Low biomass","S","Rain
adjacent","Physiological dormancy",0.4,0,0.4
"GG","Low biomass","S","Rain
adjacent","Physical dormancy",0,0.2,-0.2
"GG","Low biomass","S","Rain
proximal","No dormancy",0.1,0,0.1
"GG","Low biomass","S","Rain
proximal","Physiological dormancy",0,0,0
"GG","Low biomass","S","Rain
proximal","Physical dormancy",0.1,0.2,-0.1
"GG","Low biomass","S","Bank
adjacent","No dormancy",0.1,0.7,-0.6
"GG","Low biomass","S","Bank
adjacent","Physiological dormancy",0.2,0.4,-0.2
"GG","Low biomass","S","Bank
adjacent","Physical dormancy",0.3,0,0.3
"GG","Low biomass","S","Bank
proximal","No dormancy",0,0.7,-0.7
"GG","Low biomass","S","Bank
proximal","Physiological dormancy",0.6,0.4,0.2
"GG","Low biomass","S","Bank
proximal","Physical dormancy",0,0,0
"GG","High biomass","H","Rain
adjacent","No dormancy",1,0,1
