"TREATMENT","prob","SE","df","asymp.LCL","asymp.UCL"
"CH",0.476908478150577,0.0868807863081844,Inf,0.3153940595052,0.643401141338707
"CO",0.421947894493864,0.0877307508455681,Inf,0.265074572315427,0.596329276239796
"CS",0.504402702468877,0.0933035596393932,Inf,0.328730612138554,0.678994430473832
"MH",0.694920786040132,0.0840077863452993,Inf,0.511644513929059,0.83199970113937
"MO",0.619062908973852,0.087346484656795,Inf,0.440193868956556,0.770567889511818
"MS",0.722186180397077,0.0740666068399264,Inf,0.55768784153423,0.842756179184015
