"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",52.4587064676617,3.59553106740018,14.5899744667185,8.98870881229266e-23,45.2858182498761,59.6315946854473
"2","MHY",33.1124378109453,6.40409787022413,5.17050777204728,2.17188936547851e-06,20.3366121268436,45.8882634950469
"3","SPECIESLASE",40.4619977037888,6.06020207755915,6.67667466958223,5.10106486455168e-09,28.3722253545388,52.5517700530388
