"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.213679559360552,0.122859234864896,1.73922261192273,0.0819956135434498
"TREATMENT1",-0.331462595016932,0.259929850909846,-1.2752001890383,0.202238394423526
"TREATMENT2",-0.550151795981766,0.268769880332872,-2.0469250323005,0.0406654458550885
"TREATMENT3",-0.304651337566281,0.275365085993105,-1.10635426589233,0.268573212371908
"TREATMENT4",0.47946762119919,0.294147814525144,1.63002272164835,0.103096694856414
"TREATMENT5",0.137718327477338,0.273630167713489,0.503300965051262,0.614752688051259
