"term","statistic","df","p.value"
"TREATMENT",0.578958184828445,1,0.446720969176286
"DormancyClass",13.6212555607794,2,0.00110200086822394
"TREATMENT:DormancyClass",19.680722470642,2,0.0000532580689476429
