"BIOMASS","TREATMENT","PACKET","TYPE","prob","std.error","p.value"
"Low biomass","Herbivore exclusion","Rain
adjacent","Physiological dormancy",0.180775413558782,0.077709781486878,0.0039794139691745
"High biomass","Open","Rain
adjacent","Physiological dormancy",0.236994636909303,0.090581038246346,0.0195881243906246
"Low biomass","Open","Rain
adjacent","Physiological dormancy",0.442645886380853,0.123574831777881,0.645485725875597
"High biomass","Scavenger exclusion","Rain
adjacent","Physiological dormancy",0.245176984089635,0.0937769613636533,0.0264756090802788
"Low biomass","Scavenger exclusion","Rain
adjacent","Physiological dormancy",0.403817413876475,0.124302070844235,0.450519853802968
"High biomass","Herbivore exclusion","Rain
proximal","No dormancy",0.0411858660565396,0.020625571876813,0.0000000016767349063746
"Low biomass","Herbivore exclusion","Rain
proximal","No dormancy",0.00862677219634507,0.00547416012722623,0.000000000000124448961893216
"High biomass","Open","Rain
proximal","No dormancy",0.0109275722969523,0.00738281405435243,0.0000000000422826493925758
"Low biomass","Open","Rain
proximal","No dormancy",0.65512864084176,0.111435804760564,0.193272066258598
"High biomass","Scavenger exclusion","Rain
proximal","No dormancy",0.195785160218839,0.0749859784955759,0.00301056264369404
"Low biomass","Scavenger exclusion","Rain
proximal","No dormancy",0.0440081976427446,0.0216691464739537,0.0000000022759170789719
"High biomass","Herbivore exclusion","Rain
proximal","Physical dormancy",0.147436114590544,0.0610871001594895,0.000305071480201554
"Low biomass","Herbivore exclusion","Rain
proximal","Physical dormancy",0.0408702515219354,0.0217338254247277,0.000000012586054986913
"High biomass","Open","Rain
proximal","Physical dormancy",0.00000000612641834479616,0.00000528597276983254,0.982513874088791
"Low biomass","Open","Rain
proximal","Physical dormancy",0.125722939860494,0.0539445239054361,0.0000776539987972191
"High biomass","Scavenger exclusion","Rain
proximal","Physical dormancy",0.14285898822672,0.0602292482161046,0.000269748775706729
"Low biomass","Scavenger exclusion","Rain
proximal","Physical dormancy",0.13731154105217,0.0581612867431596,0.000181800409788818
"High biomass","Herbivore exclusion","Rain
proximal","Physiological dormancy",0.00000000937136338786717,0.00000859783592055132,0.983924739473025
"Low biomass","Herbivore exclusion","Rain
proximal","Physiological dormancy",0.0852541680914836,0.0438072898094196,0.0000239536096869358
"High biomass","Open","Rain
proximal","Physiological dormancy",0.0000000120379004604395,0.0000132931482977023,0.986824901053571
"Low biomass","Open","Rain
proximal","Physiological dormancy",0.217679030955102,0.0891504551025998,0.0145412916653892
"High biomass","Scavenger exclusion","Rain
proximal","Physiological dormancy",0.0237893176318345,0.0171933826196351,0.000000524414677767375
"Low biomass","Scavenger exclusion","Rain
proximal","Physiological dormancy",0.0000000139860699344986,0.0000107240798975114,0.98118263295986
